year,city,young_population,old_population,aging_index
114,嘉義縣,39106,114069,291.69
114,金門縣,10732,27428,255.57
114,基隆市,33377,80176,240.21
114,南投縣,47202,106033,224.64
114,澎湖縣,10033,22439,223.65
114,屏東縣,78127,170879,218.72
114,雲林縣,68500,141646,206.78
114,臺北市,291898,589801,202.06
114,花蓮縣,33562,67302,200.53
114,臺東縣,22389,43593,194.71
114,高雄市,294248,565255,192.1
114,宜蘭縣,49210,93339,189.67
114,新北市,434896,806890,185.54
114,臺南市,205107,379376,184.96
114,連江縣,1295,2334,180.23
114,苗栗縣,59856,107476,179.56
114,彰化縣,138243,246561,178.35
114,嘉義市,31647,52051,164.47
114,臺中市,365726,499029,136.45
114,桃園市,309240,393768,127.33
114,新竹市,69075,73630,106.59
114,新竹縣,88421,90080,101.88
